,word,frequency
1239,popin,16.0
1240,three_6,144.0
1241,brutally,41.0
1242,preservation,24.0
1243,ringside,21.0
1244,nome,56.0
1245,benedict,13.0
1246,avec,147.0
1247,swipe,168.0
1248,1990s,13.0
1249,hallowed,25.0
1250,hamptons,63.0
1251,ralph_lauren,105.0
1252,saint,336.0
1253,aver,15.0
1254,olde,33.0
1255,interviewed,14.0
1256,michael_jordan,147.0
1257,lifell,30.0
1258,typhoon,34.0
1259,chapelle,15.0
1260,theater,64.0
1261,stifle,19.0
1262,ragione,20.0
1263,traps,229.0
1264,pyroclastic,16.0
1265,ungrateful,71.0
1266,syringes,41.0
1267,condolences,29.0
1268,st_louis,161.0
1269,getaway,99.0
1270,tummy,256.0
1271,emirates,11.0
1272,navigators,21.0
1273,guarding,29.0
1274,graffiti,197.0
1275,blond,51.0
1276,burried,14.0
1277,sell,4084.0
1278,tarnish,21.0
1279,extorted,46.0
1280,self,1908.0
1281,also,580.0
1282,recognizing,31.0
1283,swordsmen,13.0
1284,last_supper,34.0
1285,selv,14.0
1286,pringles,39.0
1287,wallabee,12.0
1288,tropez,30.0
1289,singles,135.0
1290,trilla,49.0
1291,tue_les,44.0
1292,hummin,44.0
1293,virus,154.0
1294,understands,97.0
1295,arson,65.0
1296,seize,110.0
1297,la_familia,50.0
1298,spreewells,32.0
1299,barred,44.0
1300,bullseye,31.0
1301,barren,25.0
1302,barrel,609.0
1303,brisco,13.0
1304,bulletin,21.0
1305,christmas_eve,37.0
1306,ugk,137.0
1307,ugh,548.0
1308,exterminate,16.0
1309,stuffin,170.0
1310,blended,21.0
1311,sangin,28.0
1312,ugg,27.0
1313,aikman,12.0
1314,{_2x,69.0
1315,100_rounds,53.0
1316,naomi,29.0
1317,overwhelmed,46.0
1318,occupation,132.0
1319,3k,21.0
1320,wraps,49.0
1321,streetlights,37.0
1322,lu_lu,40.0
1323,gooey,26.0
1324,rakeem,42.0
1325,cassette,165.0
1326,calibers,22.0
1327,speak_louder,37.0
1328,indifference,15.0
1329,columns,20.0
1330,secular,32.0
1331,sunny,456.0
1332,dirmi,17.0
1333,informants,44.0
1334,remedy,236.0
1335,compass,70.0
