,Comp1,Comp2,Word,Topic
518,7.446334332,12.86737493,open,Other
519,-8.601521274,12.71170081,city,neighborhood
520,-22.08553568,-9.468037404,drive,cars
521,13.82636449,8.233198772,actin,Other
522,10.34192603,11.40258334,many,Other
523,18.96635174,0.8044418188,ive_been,Other
524,15.71168956,-0.5529298597,ive,Other
525,-18.81821635,23.65539191,rest,violence
526,-17.10742619,14.41869553,around,Other
527,-10.08812022,-19.60321424,dark,Other
528,-10.4701963,-3.73467578,her,women
529,21.2757227,-18.78709365,hes,men
530,0.3684657833,10.25955419,hey,Other
531,11.26683948,-3.062205199,tight,Other
532,1.068056189,-0.4357254244,to,Other
533,15.61848165,-2.623739106,found,Other
534,7.003819038,-0.8631468559,guess,Other
535,-1.723734313,18.16997198,rappin,rap
536,-14.40242569,-7.4155405,gold,clothes
537,-0.3170567024,-13.95576641,cry,violence
538,-4.423378751,2.546333495,straight,Other
539,-14.88862922,19.63753119,d,Other
540,-2.335858854,4.154208172,up,Other
541,16.924466,13.7395725,us,Other
542,-0.189489527,10.37990739,uh,Other
543,-12.07220368,-2.710178435,fresh,Other
544,-4.548421697,10.09130163,young,Other
545,2.904274193,-7.872800005,try,Other
546,-7.25447946,20.74489332,rack,money
547,-17.14609748,-0.2987440663,move,Other
548,14.70064993,-9.973271681,truth,Other
549,-8.878258853,-3.625701862,shorty,women
550,7.683422833,-13.92111853,face,Other
551,2.01531099,18.56335505,fact,Other
552,-11.53009944,-7.275918912,bring,Other
553,21.17171475,5.46448533,should,Other
554,9.114436133,-11.5184006,handle,Other
555,-17.05566586,-11.49019233,pistol,violence
556,-28.52395551,12.67383048,drink,drugs
557,-11.79098361,1.27961791,pussy,sex
558,15.11414563,-16.18526975,child,love
559,-14.86488748,-4.480062,red,Other
560,-9.225578501,11.63807162,south,neighborhood
561,-8.33789187,19.33358646,band,money
562,-11.87677097,-13.95683161,bang,gangs
563,-5.615537446,21.23088887,bank,money
564,0.2803248994,13.93818015,ballin,stuntin
565,-6.812099588,-16.83387419,air,Other
566,1.042623465,-1.252713636,way,Other
567,21.70668878,-4.738248776,was,hustle
568,-3.073471909,-10.308601,war,violence
569,-4.934710535,12.12396071,welcome,Other
570,-22.13934348,-8.88118508,car,cars
571,19.33470843,5.851105811,can,Other
572,12.8588807,-12.48031992,heart,love
573,16.82232458,-4.483076694,heard,Other
574,1.114753106,17.35885967,happen,rap
575,11.10266883,20.40126781,album,rap
576,12.26219483,-5.812513906,care,Other
577,-4.979021087,15.70331351,price,Other
578,7.190066695,-5.429098799,forever,Other
579,0.006196117934,-0.4817493747,only,Other
580,-3.897303949,-1.519560664,between,Other
581,10.83351213,-9.586564709,blame,Other
582,11.70967509,11.99569036,these,rap
583,-10.9914505,4.004429901,trick,Other
584,-15.25029199,20.40990936,t,Other
585,-7.592100767,-19.6367316,throw,Other
586,-17.12977294,-13.82204767,low,Other
587,-6.289239142,10.17624455,lot,Other
588,13.23481896,0.7928644853,tellin,Other
589,14.35331307,-15.05624243,family,family
590,1.099677185,-14.65491784,dream,Other
